dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                                            Convolution	0.0324	0.1037	0.0277	0.0902	0.0647	0.0114	-0.0136	0.0288	0.1729	0.0595	0.0357	0.0551	0.0095	-0.0048	0.0557	0.1146	0.0634	0.0021	0.0413	-0.0032
                                                  China	0.0663	0.1382	0.0719	0.1533	0.1404	0.0611	0.0124	0.0840	0.1974	0.1322	0.0973	0.0630	0.0245	0.0089	0.0141	0.1549	0.0751	0.0615	0.0707	0.0338
                                   Gregory of Nazianzus	0.0763	0.0820	0.0381	0.0980	0.0724	0.0114	-0.0074	0.0409	0.1458	0.0738	0.0526	0.0551	0.0086	0.0001	0.0065	0.0947	0.0355	0.0251	0.0566	0.0310
                                       Chinese checkers	0.0250	0.0922	0.0159	0.0810	0.0883	0.0007	-0.0213	0.0299	0.1428	0.0381	0.0356	0.0447	0.0063	-0.0092	0.0069	0.0790	0.0229	0.0067	0.0343	0.0054
                                                 Felony	0.0448	0.0982	0.0298	0.1063	0.0979	0.0144	-0.0163	0.0421	0.1526	0.0606	0.0508	0.0533	0.0110	-0.0049	0.0121	0.1049	0.0413	0.0152	0.0482	0.0120
                                    Printer (computing)	0.0461	0.1402	0.0387	0.1159	0.0861	0.0145	-0.0169	0.0401	0.1881	0.0594	0.0623	0.0728	0.0166	-0.0034	0.0164	0.1221	0.0586	0.0123	0.0494	0.0050
                                               Heracles	0.0439	0.0617	0.0111	0.0649	0.0454	0.0003	-0.0242	0.0208	0.1097	0.0398	0.0366	0.0445	0.0140	-0.0109	0.0036	0.0599	0.0231	0.0083	0.0326	0.0131
                                      Politics of Chile	0.0400	0.1032	0.0316	0.1037	0.0943	0.0257	-0.0275	0.0528	0.1529	0.0862	0.0383	0.0406	0.0246	-0.0058	0.0152	0.1116	0.0355	0.0067	0.0498	0.0058
                                   Analytical chemistry	0.0295	0.1022	0.0352	0.1244	0.0743	0.0201	-0.0045	0.0322	0.1924	0.0603	0.0563	0.0598	0.0118	-0.0102	0.0306	0.1777	0.0546	0.0091	0.0531	-0.0025
                              History of Hebrew grammar	0.0652	0.1174	0.0297	0.1027	0.0793	0.0187	-0.0093	0.0459	0.1676	0.0726	0.0444	0.0697	0.0209	-0.0025	0.0098	0.0976	0.0484	0.0169	0.0599	0.0240
                                               Chlorine	0.0447	0.1043	0.0397	0.1244	0.0883	0.0297	-0.0052	0.0341	0.1676	0.0741	0.0676	0.0567	0.0145	0.0010	0.0148	0.2069	0.0551	0.0215	0.0514	0.0164
                                                 Alcuin	0.0614	0.0716	0.0220	0.0844	0.0581	0.0042	-0.0154	0.0317	0.1310	0.0534	0.0460	0.0522	0.0107	-0.0027	0.0017	0.0812	0.0245	0.0231	0.0434	0.0222
                                              Hezbollah	0.0591	0.1232	0.0723	0.1500	0.1357	0.0461	0.0137	0.0617	0.1630	0.1236	0.0997	0.0587	0.0143	0.0088	0.0069	0.1438	0.0683	0.0683	0.0651	0.0298
                             FBI Most Wanted Terrorists	0.0364	0.1040	0.0442	0.1000	0.0863	0.0381	-0.0051	0.0412	0.1486	0.1181	0.0747	0.0447	0.0113	-0.0011	0.0058	0.1097	0.0430	0.0427	0.0372	0.0215
                             Professional certification	0.0318	0.1156	0.0465	0.1365	0.1136	0.0196	-0.0157	0.0482	0.1781	0.0670	0.0362	0.0319	0.0120	-0.0015	0.0112	0.1493	0.0579	0.0160	0.0602	0.0073
                           Gödel's completeness theorem	0.0286	0.1203	0.0158	0.0940	0.0631	-0.0031	-0.0251	0.0252	0.1625	0.0338	0.0293	0.0588	0.0128	-0.0039	0.0455	0.0964	0.0515	-0.0107	0.0483	-0.0096
                                             AZ Alkmaar	0.0207	0.0651	0.0212	0.0569	0.0875	0.0125	-0.0126	0.0234	0.1108	0.0674	0.0427	0.0293	0.0134	-0.0048	-0.0024	0.0643	0.0185	0.0093	0.0272	0.0088
                                          Creation myth	0.0661	0.1025	0.0554	0.1383	0.1022	0.0242	-0.0016	0.0616	0.1988	0.1023	0.0718	0.0734	0.0056	-0.0030	0.0208	0.1328	0.0549	0.0308	0.0749	0.0193
                                            Fart (word)	0.0601	0.1223	0.0489	0.1293	0.1128	0.0246	0.0000	0.0540	0.1872	0.0990	0.0731	0.0814	0.0059	-0.0040	0.0215	0.1172	0.0675	0.0489	0.0706	0.0141
                                                 Battle	0.0582	0.0982	0.0198	0.0993	0.0820	0.0043	-0.0254	0.0362	0.1600	0.0571	0.0431	0.0510	0.0221	-0.0097	0.0161	0.0966	0.0354	0.0019	0.0402	0.0007
                                               Coal tar	0.0494	0.1169	0.0694	0.1810	0.1224	0.0444	0.0070	0.0494	0.1876	0.0974	0.0823	0.0554	0.0155	0.0006	0.0148	0.1722	0.0774	0.0480	0.0549	0.0190
                                             Greenpeace	0.0553	0.1224	0.0664	0.1432	0.1295	0.0426	0.0095	0.0559	0.1670	0.1066	0.0885	0.0576	0.0133	0.0091	0.0097	0.1504	0.0724	0.0580	0.0638	0.0266
                                        Gospel of James	0.0639	0.0828	0.0292	0.0936	0.0751	0.0098	-0.0124	0.0331	0.1538	0.0695	0.0521	0.0608	0.0156	0.0020	0.0130	0.0910	0.0309	0.0197	0.0388	0.0243
                                                   Bone	0.0388	0.1031	0.0423	0.1224	0.0842	0.0275	-0.0078	0.0419	0.1752	0.0672	0.0671	0.0595	0.0192	0.0001	0.0200	0.1455	0.0495	0.0157	0.0563	0.0072
                                         Control theory	0.0311	0.1179	0.0338	0.1040	0.0824	0.0052	-0.0228	0.0364	0.1981	0.0508	0.0389	0.0514	0.0091	-0.0079	0.0272	0.1242	0.0485	-0.0024	0.0624	0.0025
                                              Hyperbola	0.0205	0.0888	0.0038	0.0587	0.0530	-0.0069	-0.0252	0.0208	0.1349	0.0337	0.0291	0.0447	0.0148	-0.0067	0.0517	0.0936	0.0428	-0.0130	0.0282	-0.0051
                                      Cricket World Cup	0.0532	0.1327	0.0614	0.1257	0.1609	0.0405	-0.0032	0.0524	0.1765	0.1265	0.1036	0.0511	0.0150	-0.0014	0.0052	0.1282	0.0643	0.0564	0.0480	0.0231
                                        Blazing Saddles	0.0428	0.0938	0.0461	0.1010	0.0869	0.0159	-0.0075	0.0410	0.1426	0.0726	0.0660	0.0428	0.0027	-0.0007	0.0019	0.1057	0.0456	0.0492	0.0483	0.0194
                                  Design of experiments	0.0440	0.1097	0.0372	0.1317	0.0904	0.0187	-0.0141	0.0344	0.1828	0.0622	0.0518	0.0497	0.0091	-0.0038	0.0227	0.1394	0.0417	0.0122	0.0590	0.0086
                                                 Dejima	0.0414	0.0804	0.0185	0.0719	0.0588	0.0073	-0.0242	0.0400	0.1335	0.0439	0.0392	0.0455	0.0151	0.0014	0.0087	0.0613	0.0231	0.0044	0.0352	0.0247
                                           Cowboy Bebop	0.0583	0.1258	0.0707	0.1401	0.1262	0.0440	0.0048	0.0550	0.1694	0.1035	0.1027	0.0600	0.0067	0.0072	0.0085	0.1341	0.0719	0.0740	0.0593	0.0239
                                                   Coma	0.0363	0.1082	0.0316	0.1204	0.0785	0.0187	-0.0083	0.0273	0.1538	0.0586	0.0599	0.0522	0.0082	-0.0095	0.0135	0.1169	0.0417	0.0074	0.0497	0.0083
                                            Casa Batlló	0.0426	0.0870	0.0302	0.0917	0.0672	0.0107	-0.0178	0.0349	0.1550	0.0592	0.0560	0.0551	0.0252	0.0828	0.0105	0.0910	0.0320	0.0100	0.0377	0.0141
                              Demographics of Indonesia	0.0292	0.0880	0.0255	0.0849	0.0614	0.0355	-0.0116	0.0283	0.1142	0.0891	0.0398	0.0260	0.0131	-0.0081	0.0034	0.0770	0.0277	0.0151	0.0227	0.0034
                                       Deseret alphabet	0.0622	0.1370	0.0571	0.1260	0.0920	0.0296	0.0023	0.0474	0.1704	0.0843	0.0697	0.0914	0.0144	0.0067	0.0170	0.1194	0.0462	0.0325	0.0577	0.0205
                                             Convex set	0.0301	0.1033	0.0264	0.0928	0.0787	0.0189	-0.0108	0.0392	0.1694	0.0625	0.0429	0.0675	0.0170	-0.0065	0.0675	0.1258	0.0467	0.0034	0.0478	0.0050
                            Boeing C-17 Globemaster III	0.0542	0.1043	0.0528	0.1097	0.1007	0.0332	0.0001	0.0557	0.1437	0.0864	0.0722	0.0470	0.0160	0.0127	0.0080	0.1171	0.0484	0.0412	0.0521	0.0326
                                           Eden Project	0.0515	0.1163	0.0693	0.1224	0.1133	0.0418	-0.0068	0.0476	0.1810	0.0868	0.0905	0.0593	0.0312	0.0177	0.0209	0.1316	0.0702	0.0493	0.0623	0.0214
                                Augustine of Canterbury	0.0919	0.0899	0.0465	0.1283	0.1046	0.0295	0.0012	0.0442	0.1855	0.0878	0.0788	0.0664	0.0069	-0.0023	0.0115	0.1155	0.0363	0.0250	0.0604	0.0313
                                                 Income	0.0400	0.1066	0.0350	0.1043	0.0836	0.0241	-0.0097	0.0518	0.1641	0.0698	0.0428	0.0460	0.0141	-0.0018	0.0253	0.1038	0.0495	0.0216	0.0531	0.0103
                                     Economy of Hungary	0.0541	0.1345	0.0755	0.1511	0.1362	0.0799	0.0109	0.0678	0.1872	0.1402	0.0976	0.0625	0.0245	0.0093	0.0138	0.1560	0.0764	0.0610	0.0599	0.0220
                                          Bacteriophage	0.0392	0.1001	0.0409	0.1338	0.0773	0.0309	0.0005	0.0348	0.1647	0.0621	0.0733	0.0642	0.0072	-0.0060	0.0104	0.1463	0.0395	0.0178	0.0568	0.0134
                                            December 27	0.0140	0.0491	-0.0096	0.0232	0.0397	-0.0160	-0.0297	0.0160	0.0983	0.0266	0.0078	-0.0126	0.0003	-0.0273	-0.0181	0.0347	-0.0139	0.0070	0.0066	-0.0160
                                          Avery Hopwood	0.0497	0.0800	0.0298	0.0908	0.0698	0.0161	-0.0169	0.0414	0.1487	0.0554	0.0588	0.0372	0.0124	-0.0060	0.0106	0.0826	0.0353	0.0489	0.0464	0.0164
                                            December 28	0.0143	0.0502	-0.0085	0.0278	0.0443	-0.0151	-0.0293	0.0151	0.1066	0.0287	0.0086	-0.0085	0.0016	-0.0259	-0.0182	0.0402	-0.0088	0.0082	0.0065	-0.0131
                                          Basic English	0.0665	0.1286	0.0359	0.1118	0.0998	0.0070	-0.0130	0.0534	0.1679	0.0673	0.0545	0.0565	0.0083	0.0008	0.0130	0.1012	0.0520	0.0337	0.0622	0.0176
                                       Heretics of Dune	0.0298	0.0501	0.0156	0.0589	0.0533	-0.0077	-0.0288	0.0220	0.1068	0.0321	0.0275	0.0268	0.0018	-0.0165	0.0033	0.0629	0.0161	-0.0007	0.0291	-0.0035
                             Asynchronous Transfer Mode	0.0290	0.1062	0.0353	0.0984	0.0731	0.0116	-0.0184	0.0261	0.1714	0.0668	0.0393	0.0438	0.0059	-0.0044	0.0090	0.1053	0.0400	0.0075	0.0410	0.0062
                                         Cayman Islands	0.0570	0.1231	0.0599	0.1300	0.1286	0.0465	-0.0005	0.0611	0.1705	0.1090	0.0962	0.0547	0.0285	0.0067	0.0151	0.1324	0.0690	0.0508	0.0565	0.0233
                                Cross section (physics)	0.0231	0.0945	0.0128	0.0738	0.0635	-0.0003	-0.0215	0.0282	0.1482	0.0402	0.0227	0.0468	0.0135	-0.0031	0.0727	0.1173	0.0595	-0.0040	0.0382	-0.0055
                                  America the Beautiful	0.0440	0.0961	0.0470	0.1097	0.1064	0.0188	-0.0063	0.0499	0.1514	0.0849	0.0647	0.0479	0.0090	0.0019	0.0081	0.1117	0.0482	0.0470	0.0497	0.0161
                                               Capybara	0.0575	0.1082	0.0513	0.1390	0.1006	0.0395	0.0209	0.0402	0.1726	0.0828	0.0954	0.0703	0.0112	0.0059	0.0152	0.1492	0.0520	0.0389	0.0586	0.0302
                                         If and only if	0.0448	0.1194	0.0269	0.1001	0.0806	-0.0019	-0.0159	0.0338	0.1674	0.0619	0.0378	0.0537	-0.0020	-0.0075	0.0302	0.1073	0.0511	0.0092	0.0454	0.0131
                                        Herman Melville	0.0609	0.0833	0.0293	0.0988	0.0743	0.0116	-0.0146	0.0403	0.1490	0.0611	0.0526	0.0533	0.0055	-0.0033	0.0062	0.0957	0.0284	0.0299	0.0525	0.0257
                                         Data structure	0.0466	0.1330	0.0656	0.1186	0.0940	0.0233	-0.0172	0.0571	0.1812	0.0750	0.0549	0.0584	0.0167	0.0114	0.0175	0.1402	0.0686	0.0201	0.0645	0.0057
                                        Double jeopardy	0.0507	0.1159	0.0465	0.1264	0.1235	0.0261	-0.0043	0.0531	0.1598	0.0878	0.0728	0.0576	0.0126	0.0021	0.0120	0.1245	0.0562	0.0434	0.0575	0.0247
                                         Dennis Ritchie	0.0572	0.1336	0.0832	0.1533	0.1230	0.0359	0.0058	0.0529	0.1954	0.0956	0.0811	0.0598	0.0102	0.0079	0.0113	0.1483	0.0825	0.0634	0.0617	0.0229
                                       History of Gabon	0.0432	0.0937	0.0254	0.0933	0.0899	0.0151	-0.0283	0.0457	0.1513	0.0673	0.0463	0.0483	0.0237	-0.0061	0.0090	0.0937	0.0310	0.0104	0.0452	0.0084
                                        British Airways	0.0489	0.1266	0.0697	0.1493	0.1532	0.0525	0.0107	0.0553	0.1862	0.1217	0.0942	0.0541	0.0138	0.0036	0.0064	0.1429	0.0754	0.0650	0.0556	0.0200
                                           Emperor Saga	0.0530	0.0778	0.0320	0.0730	0.0669	0.0202	-0.0111	0.0375	0.1263	0.0536	0.0436	0.0410	0.0096	0.0030	0.0118	0.0854	0.0359	0.0224	0.0365	0.1236
                                          Easter Rising	0.0595	0.0910	0.0376	0.0945	0.0902	0.0280	-0.0104	0.0463	0.1533	0.0750	0.0605	0.0532	0.0168	0.0024	0.0132	0.0934	0.0379	0.0280	0.0470	0.0277
                                     Anarcho-capitalism	0.0481	0.1025	0.0378	0.1145	0.0907	0.0226	-0.0113	0.0485	0.1502	0.0762	0.0577	0.0525	0.0125	-0.0031	0.0076	0.1066	0.0400	0.0256	0.0631	0.0204
                                       Grover Cleveland	0.0660	0.1026	0.0435	0.1172	0.0938	0.0326	-0.0045	0.0533	0.1695	0.0779	0.0743	0.0604	0.0135	-0.0003	0.0138	0.1185	0.0387	0.0335	0.0561	0.0357
                                            Isle of Man	0.0555	0.1162	0.0583	0.1271	0.1239	0.0390	-0.0002	0.0583	0.1834	0.1069	0.0813	0.0663	0.0255	0.0013	0.0149	0.1344	0.0654	0.0414	0.0576	0.0236
                           American Football Conference	0.0200	0.0853	0.0228	0.0791	0.1071	0.0108	-0.0179	0.0298	0.1304	0.0628	0.0442	0.0289	0.0116	-0.0124	0.0007	0.0828	0.0339	0.0180	0.0348	0.0064
                                           Eiffel Tower	0.0517	0.1218	0.0572	0.1369	0.1197	0.0360	-0.0028	0.0481	0.1901	0.0985	0.0908	0.0623	0.0155	0.0122	0.0199	0.1384	0.0568	0.0432	0.0583	0.0237
                                            Franz Kafka	0.0499	0.0741	0.0309	0.1044	0.0720	0.0112	-0.0202	0.0331	0.1517	0.0642	0.0504	0.0362	0.0053	-0.0064	0.0041	0.1084	0.0327	0.0272	0.0438	0.0059
                                           Hang gliding	0.0299	0.0929	0.0221	0.0929	0.0771	0.0039	-0.0222	0.0337	0.1513	0.0507	0.0426	0.0432	0.0144	-0.0048	0.0073	0.0991	0.0393	0.0035	0.0393	0.0037
                                            BCG vaccine	0.0409	0.1081	0.0478	0.1743	0.0953	0.0360	0.0090	0.0405	0.1715	0.0725	0.0800	0.0593	0.0045	-0.0083	0.0093	0.1415	0.0496	0.0291	0.0586	0.0122
                                           Chalcolithic	0.0658	0.1104	0.0407	0.1193	0.0927	0.0324	-0.0037	0.0555	0.1886	0.0907	0.0705	0.0816	0.0300	0.0032	0.0199	0.1328	0.0504	0.0277	0.0732	0.0245
                                  List of French people	-0.0001	0.0269	-0.0072	0.0130	0.0197	-0.0167	-0.0245	0.0080	0.0582	0.0127	0.0002	-0.0042	0.0042	-0.0217	-0.0201	0.0079	-0.0074	-0.0090	-0.0008	-0.0059
                              Ancient Egyptian religion	0.0594	0.0921	0.0298	0.1136	0.0795	0.0068	-0.0203	0.0391	0.1681	0.0685	0.0571	0.0540	0.0144	-0.0038	0.0159	0.1102	0.0317	0.0096	0.0502	0.0159
                                             Atari 7800	0.0472	0.1212	0.0678	0.1252	0.1046	0.0172	-0.0103	0.0463	0.1822	0.0693	0.0642	0.0604	0.0160	0.0087	0.0103	0.1178	0.0579	0.0296	0.0604	0.0231
                            Foreign relations of Brunei	0.0659	0.1469	0.0955	0.1727	0.1948	0.0594	0.0211	0.0922	0.1871	0.1833	0.1388	0.0628	0.0213	0.0135	0.0136	0.1853	0.0938	0.0939	0.0605	0.0312
                                              Beryllium	0.0414	0.1074	0.0525	0.1323	0.1023	0.0371	0.0002	0.0460	0.1839	0.0919	0.0728	0.0583	0.0154	0.0028	0.0218	0.2046	0.0681	0.0337	0.0561	0.0207
                                       County Fermanagh	0.0389	0.0957	0.0495	0.1163	0.1105	0.0373	0.0000	0.0405	0.1609	0.1007	0.0771	0.0377	0.0291	0.0026	0.0038	0.1202	0.0549	0.0490	0.0444	0.0193
                                       Electrochemistry	0.0393	0.1041	0.0202	0.1023	0.0719	0.0108	-0.0199	0.0407	0.1835	0.0491	0.0357	0.0495	0.0141	-0.0034	0.0300	0.1754	0.0594	0.0004	0.0457	0.0105
                              Foreign relations of Iraq	0.0508	0.1106	0.0492	0.1149	0.1053	0.0302	-0.0139	0.0715	0.1530	0.0990	0.0682	0.0504	0.0214	-0.0038	0.0089	0.1099	0.0499	0.0348	0.0480	0.0117
                                             Amber Road	0.0541	0.0686	0.0285	0.0692	0.0706	0.0175	-0.0158	0.0473	0.1296	0.0907	0.0460	0.0533	0.0502	0.0042	0.0070	0.0774	0.0376	0.0188	0.0390	0.0133
                                                Hamster	0.0346	0.0932	0.0305	0.1035	0.0726	0.0115	-0.0149	0.0317	0.1500	0.0578	0.0616	0.0500	0.0082	-0.0007	0.0068	0.1106	0.0368	0.0110	0.0397	0.0108
                                Hans Christian Andersen	0.0624	0.1007	0.0511	0.1131	0.1046	0.0294	-0.0039	0.0469	0.1660	0.0895	0.0744	0.0566	0.0117	0.0038	0.0093	0.1010	0.0541	0.0551	0.0587	0.0232
                                    Surnames by country	0.0293	0.0832	0.0071	0.0712	0.0573	-0.0048	-0.0307	0.0268	0.1243	0.0407	0.0305	0.0468	0.0097	-0.0125	0.0008	0.0539	0.0216	0.0017	0.0250	-0.0017
                              Decade (Neil Young album)	0.0490	0.0970	0.0375	0.0917	0.0826	0.0133	-0.0153	0.0510	0.1584	0.0620	0.0610	0.0452	0.0204	-0.0018	0.0107	0.1024	0.0571	0.0532	0.0626	0.0277
                                               April 17	0.0111	0.0492	-0.0088	0.0300	0.0387	-0.0149	-0.0306	0.0189	0.0989	0.0320	0.0063	-0.0093	0.0000	-0.0241	-0.0185	0.0342	-0.0122	0.0070	0.0067	-0.0158
                                           Abadan, Iran	0.0609	0.0845	0.0528	0.1226	0.0953	0.0286	0.0017	0.0436	0.1795	0.0924	0.0689	0.0496	0.0098	-0.0003	0.0079	0.1245	0.0450	0.0304	0.0507	0.0149
                                                  Camel	0.0569	0.1128	0.0693	0.1664	0.1269	0.0467	0.0158	0.0479	0.1843	0.1146	0.1014	0.0641	0.0100	0.0047	0.0100	0.1585	0.0735	0.0564	0.0651	0.0230
                                             Carl Barks	0.0495	0.0832	0.0288	0.0906	0.0697	0.0060	-0.0195	0.0355	0.1361	0.0574	0.0533	0.0376	0.0095	-0.0030	0.0072	0.0815	0.0304	0.0326	0.0440	0.0126
                                              Alexandra	0.0289	0.0606	0.0158	0.0491	0.0388	-0.0085	-0.0159	0.0202	0.1220	0.0653	0.0271	0.0537	-0.0022	-0.0157	-0.0128	0.0382	0.0186	0.0071	0.0150	-0.0023
                                        Cauchy sequence	0.0287	0.1118	0.0088	0.0618	0.0544	-0.0048	-0.0259	0.0208	0.1500	0.0311	0.0227	0.0487	0.0060	-0.0078	0.0642	0.0910	0.0538	-0.0128	0.0292	-0.0093
                                        Flag of Denmark	0.0496	0.0849	0.0271	0.0874	0.0849	0.0270	-0.0149	0.0392	0.1459	0.0721	0.0604	0.0612	0.0216	0.0075	0.0147	0.0882	0.0351	0.0217	0.0366	0.0203
                                   Christopher Columbus	0.0659	0.0979	0.0468	0.1195	0.1001	0.0264	-0.0058	0.0527	0.1723	0.0912	0.0758	0.0630	0.0182	0.0040	0.0131	0.1214	0.0450	0.0402	0.0560	0.0284
                                                Ferrari	0.0402	0.1104	0.0476	0.1142	0.1020	0.0347	-0.0015	0.0373	0.1553	0.0947	0.0712	0.0512	0.0139	0.0013	0.0085	0.1104	0.0525	0.0353	0.0443	0.0178
                                               April 21	0.0136	0.0474	-0.0068	0.0265	0.0388	-0.0130	-0.0293	0.0162	0.1005	0.0290	0.0056	-0.0088	0.0017	-0.0251	-0.0153	0.0363	-0.0091	0.0040	0.0079	-0.0139
                                  Transport in Bulgaria	0.0455	0.1226	0.0697	0.1317	0.1137	0.0662	0.0006	0.0544	0.1739	0.1340	0.0873	0.0569	0.0321	0.0117	0.0124	0.1343	0.0816	0.0464	0.0597	0.0218
                                              August 19	0.0167	0.0536	-0.0048	0.0337	0.0446	-0.0126	-0.0278	0.0238	0.1092	0.0319	0.0137	-0.0075	0.0066	-0.0221	-0.0116	0.0403	-0.0091	0.0057	0.0116	-0.0101
                                              Complaint	0.0419	0.1304	0.0621	0.1290	0.1219	0.0314	0.0051	0.0413	0.1791	0.0897	0.0861	0.0608	0.0124	0.0011	0.0109	0.1376	0.0725	0.0402	0.0601	0.0177
                                              August 15	0.0197	0.0472	-0.0033	0.0332	0.0415	-0.0098	-0.0284	0.0176	0.1046	0.0339	0.0105	-0.0033	0.0047	-0.0234	-0.0119	0.0383	-0.0055	0.0050	0.0088	-0.0089
                                              August 16	0.0187	0.0514	-0.0062	0.0330	0.0424	-0.0112	-0.0288	0.0217	0.1067	0.0269	0.0110	-0.0050	0.0051	-0.0233	-0.0150	0.0370	-0.0056	0.0081	0.0103	-0.0129
                                                  Gecko	0.0465	0.0976	0.0346	0.1285	0.0881	0.0348	0.0135	0.0346	0.1697	0.0722	0.0821	0.0611	0.0124	-0.0003	0.0106	0.1382	0.0428	0.0255	0.0574	0.0116
                                          Assembly line	0.0549	0.1085	0.0376	0.1343	0.0946	0.0265	-0.0138	0.0506	0.2069	0.0771	0.0613	0.0621	0.0148	0.0037	0.0180	0.1154	0.0480	0.0242	0.0600	0.0105
                      Demographics of the Faroe Islands	0.0003	0.0525	-0.0113	0.0220	0.0048	0.0209	-0.0276	-0.0069	0.0532	0.0310	0.0134	0.0128	-0.0009	-0.0187	0.0117	0.0143	-0.0076	-0.0171	-0.0040	-0.0083
                                    Languages of Europe	0.0593	0.1091	0.0261	0.1043	0.0809	0.0265	-0.0160	0.0501	0.1580	0.1253	0.0545	0.0741	0.0272	-0.0109	0.0010	0.0857	0.0417	0.0113	0.0411	0.0032
                                              Chalcogen	0.0481	0.1195	0.0514	0.1388	0.1076	0.0369	-0.0009	0.0447	0.1895	0.0886	0.0837	0.0593	0.0137	0.0044	0.0141	0.2086	0.0622	0.0313	0.0519	0.0166
                                         Hayling Island	0.0530	0.0963	0.0433	0.1024	0.0976	0.0258	-0.0045	0.0475	0.1511	0.0739	0.0729	0.0530	0.0272	0.0051	0.0123	0.1107	0.0468	0.0267	0.0489	0.0217
                                              August 31	0.0174	0.0493	-0.0093	0.0289	0.0420	-0.0132	-0.0282	0.0196	0.1042	0.0300	0.0092	-0.0096	0.0021	-0.0262	-0.0165	0.0383	-0.0089	0.0062	0.0091	-0.0139
                                         Flag of Europe	0.0585	0.1257	0.0692	0.1430	0.1480	0.0603	0.0074	0.0753	0.1845	0.1340	0.1008	0.0830	0.0296	0.0189	0.0197	0.1470	0.0790	0.0555	0.0578	0.0278
                                               Fellatio	0.0581	0.1211	0.0620	0.1886	0.1295	0.0469	0.0096	0.0481	0.1975	0.1093	0.0945	0.0633	0.0099	0.0061	0.0169	0.1602	0.0704	0.0506	0.0701	0.0294
                                                 Anubis	0.0650	0.0885	0.0443	0.1145	0.1012	0.0218	-0.0010	0.0471	0.1671	0.0892	0.0743	0.0651	0.0147	0.0019	0.0145	0.1159	0.0512	0.0398	0.0574	0.0244
                                         Deicide (band)	0.0479	0.1019	0.0559	0.1222	0.1028	0.0270	-0.0035	0.0456	0.1495	0.0871	0.0830	0.0476	0.0119	0.0036	0.0030	0.1211	0.0589	0.0648	0.0479	0.0209
                                  Cosmological argument	0.0598	0.1082	0.0441	0.1254	0.1030	0.0194	-0.0041	0.0531	0.1886	0.0857	0.0685	0.0712	0.0154	0.0012	0.0300	0.1233	0.0539	0.0305	0.0780	0.0208
                                            Heavy water	0.0345	0.0986	0.0380	0.1234	0.0810	0.0290	-0.0074	0.0354	0.1634	0.0693	0.0596	0.0499	0.0159	-0.0039	0.0146	0.1756	0.0557	0.0209	0.0512	0.0084
                                               Carmilla	0.0487	0.0791	0.0363	0.0930	0.0806	0.0218	-0.0128	0.0363	0.1420	0.0677	0.0605	0.0481	0.0116	-0.0015	0.0066	0.0920	0.0429	0.0365	0.0542	0.0199
                                        Gheorghe Zamfir	0.0441	0.0869	0.0382	0.0848	0.0743	0.0062	-0.0159	0.0484	0.1290	0.0611	0.0513	0.0397	0.0152	0.0130	-0.0006	0.0811	0.0337	0.0294	0.0449	0.0131
                                                  Abbey	0.0474	0.0798	0.0231	0.0809	0.0611	0.0084	-0.0220	0.0308	0.1521	0.0589	0.0537	0.0560	0.0227	0.0022	0.0143	0.0881	0.0276	0.0028	0.0358	0.0087
                                                  Homer	0.0759	0.0974	0.0434	0.1144	0.0903	0.0197	-0.0098	0.0462	0.1806	0.0827	0.0577	0.0796	0.0147	-0.0011	0.0183	0.1084	0.0450	0.0271	0.0686	0.0203
                                          Hernán Cortés	0.0593	0.0817	0.0318	0.0858	0.0685	0.0151	-0.0148	0.0415	0.1389	0.0616	0.0532	0.0443	0.0163	0.0005	0.0062	0.0858	0.0323	0.0207	0.0422	0.0215
                                    Andrew S. Tanenbaum	0.0533	0.1127	0.0721	0.1307	0.1001	0.0250	0.0007	0.0470	0.1789	0.0848	0.0685	0.0500	0.0106	0.0067	0.0110	0.1365	0.0556	0.0453	0.0635	0.0203
                                            Capricornus	0.0490	0.0994	0.0450	0.0902	0.0761	0.0238	-0.0100	0.0439	0.1607	0.0754	0.0576	0.0615	0.0228	0.0064	0.0192	0.1193	0.0582	0.0227	0.0523	0.0198
                                                 Alkyne	0.0292	0.0880	0.0287	0.0911	0.0685	0.0172	-0.0117	0.0302	0.1485	0.0544	0.0504	0.0550	0.0150	-0.0079	0.0252	0.1459	0.0484	-0.0007	0.0424	0.0035
                                   Transport in Belgium	0.0310	0.0832	0.0256	0.0780	0.0676	0.0234	-0.0186	0.0348	0.1447	0.0621	0.0433	0.0411	0.0357	-0.0020	0.0114	0.0858	0.0374	0.0048	0.0338	0.0063
                                      Estonian language	0.0605	0.1227	0.0384	0.1150	0.0963	0.0216	-0.0106	0.0574	0.1766	0.0948	0.0629	0.0731	0.0206	0.0049	0.0141	0.1091	0.0527	0.0275	0.0527	0.0224
                               Lockheed F-117 Nighthawk	0.0556	0.0999	0.0516	0.1119	0.0983	0.0294	0.0020	0.0476	0.1625	0.0802	0.0727	0.0547	0.0129	0.0132	0.0142	0.1192	0.0442	0.0354	0.0499	0.0349
