dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                                         Gautama Buddha	0.0554	0.0843	0.0300	0.1083	0.0778	0.0122	-0.0093	0.0353	0.1577	0.0758	0.0588	0.0477	0.0110	-0.0045	0.0111	0.1125	0.0375	0.0259	0.0479	0.0153
                                   Transport in Ireland	0.0398	0.0947	0.0470	0.1044	0.0934	0.0417	-0.0128	0.0418	0.1555	0.0863	0.0670	0.0397	0.0257	-0.0049	0.0122	0.1071	0.0563	0.0338	0.0452	0.0104
                          Confederate States of America	0.0574	0.0896	0.0289	0.1066	0.0934	0.0242	-0.0146	0.0533	0.1479	0.0849	0.0586	0.0466	0.0135	-0.0058	0.0071	0.1059	0.0361	0.0293	0.0520	0.0214
                                                Abraxas	0.0461	0.0825	0.0229	0.0865	0.0668	0.0067	-0.0138	0.0290	0.1422	0.0565	0.0495	0.0671	0.0111	-0.0047	0.0135	0.0894	0.0350	0.0137	0.0517	0.0104
                                                Ajaccio	0.0513	0.0831	0.0318	0.0844	0.0692	0.0220	-0.0121	0.0402	0.1370	0.0706	0.0532	0.0522	0.0293	0.0074	0.0115	0.0897	0.0340	0.0159	0.0397	0.0154
                                     Euclidean geometry	0.0538	0.1105	0.0311	0.1204	0.0980	0.0180	-0.0100	0.0383	0.1859	0.0724	0.0581	0.0735	0.0124	-0.0001	0.0403	0.1312	0.0578	0.0187	0.0617	0.0188
                                      Abd-ar-Rahman III	0.0521	0.0712	0.0332	0.0922	0.0780	0.0131	-0.0106	0.0315	0.1413	0.0773	0.0458	0.0464	0.0083	-0.0032	0.0057	0.0876	0.0269	0.0181	0.0406	0.0262
                                    List of cartoonists	-0.0098	0.0016	-0.0021	0.0101	0.0092	-0.0227	-0.0290	-0.0089	0.0563	0.0061	0.0159	-0.0197	-0.0158	-0.0173	-0.0252	0.0007	0.0050	0.0016	0.0100	0.0126
                                            February 22	0.0210	0.0518	-0.0031	0.0360	0.0485	-0.0108	-0.0272	0.0284	0.1138	0.0362	0.0150	-0.0037	0.0053	-0.0220	-0.0109	0.0424	-0.0044	0.0117	0.0145	-0.0095
Foreign relations of the Federated States of Micronesia	0.0542	0.1361	0.0684	0.1493	0.1334	0.0545	0.0008	0.0909	0.1888	0.1310	0.0883	0.0607	0.0237	-0.0006	0.0168	0.1518	0.0721	0.0539	0.0558	0.0179
                                                 Hawaii	0.0512	0.1163	0.0535	0.1340	0.1120	0.0467	-0.0013	0.0572	0.1740	0.1096	0.0850	0.0548	0.0190	0.0035	0.0131	0.1343	0.0621	0.0497	0.0542	0.0173
                                          Diesel engine	0.0345	0.1012	0.0360	0.1122	0.0884	0.0135	-0.0138	0.0363	0.1713	0.0681	0.0597	0.0438	0.0093	-0.0022	0.0119	0.1266	0.0495	0.0199	0.0426	0.0095
                                     Battle of Bouvines	0.0625	0.0822	0.0271	0.0885	0.0690	0.0230	-0.0148	0.0275	0.1437	0.0672	0.0535	0.0512	0.0191	-0.0007	0.0081	0.0801	0.0255	0.0118	0.0333	0.0194
                                                  Goths	0.0839	0.0909	0.0507	0.1175	0.1047	0.0338	-0.0025	0.0552	0.1751	0.1141	0.0695	0.0741	0.0241	0.0008	0.0169	0.1162	0.0511	0.0339	0.0637	0.0252
                                   Coordination complex	0.0216	0.0916	0.0121	0.0797	0.0574	0.0039	-0.0233	0.0209	0.1493	0.0539	0.0311	0.0443	0.0136	-0.0072	0.0211	0.1561	0.0467	-0.0064	0.0397	0.0016
                                                  Affix	0.0336	0.1146	0.0133	0.0715	0.0523	0.0059	-0.0185	0.0283	0.1401	0.0540	0.0410	0.0636	0.0098	-0.0118	0.0083	0.0749	0.0355	0.0057	0.0453	0.0069
                                          Gheorghe Hagi	0.0447	0.0981	0.0425	0.0967	0.1349	0.0395	0.0001	0.0482	0.1363	0.1203	0.0709	0.0432	0.0152	0.0003	0.0067	0.1011	0.0448	0.0478	0.0388	0.0148
                                                    Ham	0.0510	0.1158	0.0526	0.1523	0.1161	0.0416	0.0103	0.0542	0.1881	0.0860	0.0909	0.0729	0.0223	-0.0006	0.0163	0.1597	0.0665	0.0408	0.0705	0.0218
                                                   Fire	0.0355	0.1071	0.0411	0.1248	0.0924	0.0240	-0.0099	0.0421	0.1710	0.0727	0.0687	0.0447	0.0188	-0.0010	0.0122	0.1455	0.0569	0.0232	0.0491	0.0082
                                             COINTELPRO	0.0544	0.0994	0.0470	0.1256	0.0953	0.0196	-0.0089	0.0536	0.1541	0.0889	0.0656	0.0441	0.0087	-0.0005	0.0102	0.1163	0.0440	0.0391	0.0580	0.0214
                                                 Fenrir	0.0545	0.0836	0.0269	0.0930	0.0814	0.0160	-0.0072	0.0346	0.1535	0.0663	0.0515	0.0612	0.0129	-0.0003	0.0130	0.0913	0.0316	0.0212	0.0463	0.0299
                                                 Abacus	0.0643	0.1038	0.0454	0.1213	0.0901	0.0231	-0.0103	0.0457	0.2026	0.0842	0.0665	0.0682	0.0116	-0.0028	0.0137	0.1341	0.0480	0.0261	0.0511	0.0126
                                        Foundationalism	0.0597	0.1181	0.0492	0.1274	0.1066	0.0220	-0.0120	0.0574	0.1930	0.0780	0.0557	0.0622	0.0162	-0.0028	0.0211	0.1291	0.0539	0.0283	0.0871	0.0191
                                               Cameroon	0.0620	0.1219	0.0572	0.1361	0.1280	0.0522	0.0033	0.0608	0.1709	0.1161	0.0860	0.0582	0.0279	0.0063	0.0124	0.1306	0.0580	0.0417	0.0548	0.0317
                         Telecommunications in Honduras	0.0584	0.1196	0.0675	0.1221	0.1175	0.0450	0.0041	0.0784	0.1757	0.1230	0.0708	0.0550	0.0216	0.0210	0.0155	0.1384	0.0666	0.0395	0.0611	0.0310
                                          George Pappas	0.0772	0.0979	0.0701	0.1391	0.1057	0.0233	0.0113	0.0651	0.1851	0.0936	0.0637	0.0638	0.0054	-0.0069	0.0175	0.1445	0.0554	0.0423	0.0730	0.0216
